Price,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,
2026-03-23,380.8500061035156,385.3299865722656,372.7300109863281,373.0899963378906,74606000
2026-03-24,383.0299987792969,387.4800109863281,376.30999755859375,376.55999755859375,60004900
2026-03-25,385.95001220703125,396.2300109863281,385.010009765625,389.989990234375,55157300
2026-03-26,372.1099853515625,384.44000244140625,371.8699951171875,381.6000061035156,55522900
2026-03-27,361.8299865722656,369.8599853515625,359.4700012207031,369.69000244140625,62065700
2026-03-30,355.2799987792969,367.2900085449219,352.1400146484375,365.8599853515625,67954400
2026-03-31,371.75,373.3299865722656,361.0,361.510009765625,75534900
2026-04-01,381.260009765625,383.1400146484375,374.0799865722656,378.6300048828125,58683800
2026-04-02,360.5899963378906,370.2799987792969,359.0299987792969,364.20001220703125,83031200
2026-04-06,352.82000732421875,367.7200012207031,346.6400146484375,362.5899963378906,77697600
2026-04-07,346.6499938964844,348.0199890136719,337.239990234375,346.44000244140625,74515400
2026-04-08,343.25,364.5,339.6700134277344,363.7900085449219,78838600
2026-04-09,345.6199951171875,348.8800048828125,337.25,343.1499938964844,62164000
2026-04-10,348.95001220703125,350.3599853515625,342.739990234375,346.2900085449219,51336000
2026-04-13,352.4200134277344,356.3500061035156,348.57000732421875,350.07000732421875,53617500
2026-04-14,364.20001220703125,367.6300048828125,354.7699890136719,357.6700134277344,59979600
2026-04-15,391.95001220703125,394.6499938964844,362.5,366.8299865722656,113810400
2026-04-16,388.8999938964844,394.05999755859375,381.79998779296875,393.80999755859375,63515100
2026-04-17,400.6199951171875,409.2799987792969,391.6499938964844,395.9200134277344,90640000
2026-04-20,392.5,406.79998779296875,388.3299865722656,402.5799865722656,64603900
2026-04-21,386.4200134277344,393.95001220703125,385.2200012207031,393.0,50345800
