Date,Close,High,Low,Open,Volume
2026-04-02,360.5899963378906,370.2799987792969,359.0299987792969,364.20001220703125,83031200
2026-04-06,352.82000732421875,367.7200012207031,346.6400146484375,362.5899963378906,77697600
2026-04-07,346.6499938964844,348.0199890136719,337.239990234375,346.44000244140625,74515400
2026-04-08,343.25,364.5,339.6700134277344,363.7900085449219,78838600
2026-04-09,345.6199951171875,348.8800048828125,337.25,343.1499938964844,62164000
2026-04-10,348.95001220703125,350.3599853515625,342.739990234375,346.2900085449219,51336000
2026-04-13,352.4200134277344,356.3500061035156,348.57000732421875,350.07000732421875,53617500
2026-04-14,364.20001220703125,367.6300048828125,354.7699890136719,357.6700134277344,59979600
2026-04-15,391.95001220703125,394.6499938964844,362.5,366.8299865722656,113810400
2026-04-16,388.8999938964844,394.05999755859375,381.79998779296875,393.80999755859375,63515100
2026-04-17,400.6199951171875,409.2799987792969,391.6499938964844,395.9200134277344,90640000
2026-04-20,392.5,406.79998779296875,388.3299865722656,402.5799865722656,64603900
2026-04-21,386.4200134277344,393.95001220703125,385.2200012207031,393.0,50530600
2026-04-22,387.510009765625,393.010009765625,385.29998779296875,387.57000732421875,62362800
2026-04-23,373.7200012207031,386.0,368.3900146484375,375.2799987792969,93969500
2026-04-24,376.29998779296875,382.760009765625,370.7300109863281,373.5,62893300
2026-04-27,378.6700134277344,380.7799987792969,364.0199890136719,372.0899963378906,66735800
2026-04-28,376.0199890136719,382.2900085449219,372.5400085449219,374.67999267578125,50864400
2026-04-29,372.79998779296875,376.3999938964844,370.0400085449219,375.3999938964844,45384800
2026-04-30,381.6300048828125,384.75,368.1700134277344,372.75,51076000
2026-05-01,390.82000732421875,397.82000732421875,378.79998779296875,382.489990234375,65210000
