"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2027651077865157033","https://t.co/BZuJDudLej","zxx","Tweet","Donald J. Trump","realDonaldTrump","197789840","149188","155020","27138","999215","112273","2026-02-28 15:44:23","https://x.com/realDonaldTrump/status/2027651077865157033","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2027649690032889856/vid/avc1/3840x2026/InXhHRvaG5jNn8QJ.mp4?tag=21"
"2018445404027896054","On behalf of Erin and me, thank you to everyone for the love and support we've received. We both had an unforgettable wedding day, and we'll never forget it. We're humbled and grateful to all.

THANK YOU! 🙏🏻🇺🇸🦅🚀 https://t.co/0qXxYWCY7A","en","Retweet","Dan Scavino Jr.🇺🇸🦅","DanScavino","36028425","25622","13375","832","93751","3534","2026-02-03 06:04:19","https://x.com/DanScavino/status/2018445404027896054","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2018445127690092546/vid/avc1/3840x2160/aQSQ2km0-PqhVv1c.mp4?tag=21"
"2017734677436445106","Box Office: ‘Melania’ Heads for $8 Million Opening, the Best Showing in a Decade for a Doc https://t.co/2FKjEMRoxW","en","Retweet","The Hollywood Reporter","THR","27951648","8488","4723","329","32083","813","2026-02-01 07:00:09","https://x.com/THR/status/2017734677436445106","<a href=""https://trueanthem.com"" rel=""nofollow"">trueanthem_pro2</a>","","https://www.hollywoodreporter.com/movies/movie-news/box-office-melania-opening-weekend-1236490092/?taid=697e89790d6a0400013245c2&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter","",""
"2017926543629009209","RECORD BREAKER: “Melania,” a documentary following the first lady in the 20 days before President Trump’s second inauguration, earns $8 million opening weekend — reportedly making it the biggest documentary debut in more than a decade. https://t.co/NOqjPsOYLX","en","Retweet","Fox News","FoxNews","30421176","14263","7665","849","55111","1332","2026-02-01 19:42:33","https://x.com/FoxNews/status/2017926543629009209","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/HAEdYGWWQAA6c2e.jpg"
"2017663305876176951","MELANIA, the film.
#1 Highest Opening In 10 Yrs (Doc)
Loved By All - “A” CinemaScore https://t.co/HTVM0Cu2Jv","en","Retweet","MELANIA TRUMP","MELANIATRUMP","21954454","21670","11930","1268","87578","1582","2026-02-01 02:16:33","https://x.com/MELANIATRUMP/status/2017663305876176951","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/HAAt9yXWIAEZY_X.jpg"
"2017417980594827718","Last night I saw, “MELANIA,” for the second time. The audience loved it, and so do I. Check it out — A MUST SEE! https://t.co/rjwd5Appkv","en","Tweet","Donald J. Trump","realDonaldTrump","48724735","49586","35600","3885","308649","6531","2026-01-31 10:01:43","https://x.com/realDonaldTrump/status/2017417980594827718","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://www.amazon.com/salp/melaniamovie?hhf","",""
"2015833393917747502","MELANIA, the Movie, is a MUST WATCH. Get your tickets today — Selling out, FAST!

Photo: Regine Mahaux
https://t.co/rjwd5Appkv https://t.co/vFpXfV0Mg0","en","Tweet","Donald J. Trump","realDonaldTrump","57595128","66507","41959","5464","408347","10731","2026-01-27 01:05:08","https://x.com/realDonaldTrump/status/2015833393917747502","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://www.amazon.com/salp/melaniamovie?hhf","photo","https://pbs.twimg.com/media/G_mtyaXXcAAvj4V.jpg"
"2014874759473828043","I have been briefed on the Record Cold Wave and Historic Winter Storm that will be hitting much of the United States this weekend. The Trump Administration is coordinating with State and Local Officials. FEMA is fully prepared to respond. Stay Safe and Stay Warm! President DJT","en","Tweet","Donald J. Trump","realDonaldTrump","61967763","31644","37479","2437","282093","9642","2026-01-24 09:35:51","https://x.com/realDonaldTrump/status/2014874759473828043","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2014828034075803679","Take this storm seriously, folks.

Moderate to major impacts are expected from the Central US through to the Northeast today through the weekend.
- Hazardous to impossible driving conditions are expected. Avoid travel if at all possible.
- Widespread closures and disruption to infrastructure may also occur.

Stay weather aware and up to date on the latest alerts and weather conditions by following your local national weather service office on social media or checking https://t.co/qk3BcVP5M8.","en","Quoted","National Weather Service","NWS","62655026","1128","3318","634","13538","1599","2026-01-24 06:30:11","https://x.com/NWS/status/2014828034075803679","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","","","photo","https://pbs.twimg.com/media/G_YbauLXcAAdx8t.jpg"
"2014772963719991311","COUNTDOWN: 7 Days until the World will witness an unforgettable, behind-the-scenes, look at one of the most important events of our time.

MELANIA: TWENTY DAYS TO HISTORY:
https://t.co/rjwd5Appkv https://t.co/AHD0rn1M7C","en","Tweet","Donald J. Trump","realDonaldTrump","69520547","40361","48110","4049","392117","25626","2026-01-24 02:51:21","https://x.com/realDonaldTrump/status/2014772963719991311","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://www.amazon.com/salp/melaniamovie?hhf","video","https://video.twimg.com/amplify_video/2014772905972776960/vid/avc1/1280x720/m-soU3NaS1n-xyqt.mp4?tag=21"
