Date,Close,High,Low,Open,Volume,"('Close', 'AAPL')","('High', 'AAPL')","('Low', 'AAPL')","('Open', 'AAPL')","('Volume', 'AAPL')","('Close', 'AAPL')","('High', 'AAPL')","('Low', 'AAPL')","('Open', 'AAPL')","('Volume', 'AAPL')"
2025-01-02 14:30:00+00:00,,,,,,,,,,,245.73989868164062,249.10000610351562,244.8000030517578,248.92999267578125,13501229.0
2025-01-02 15:30:00+00:00,,,,,,,,,,,244.89500427246094,245.8800048828125,244.16009521484375,245.6300048828125,6830782.0
2025-01-02 16:30:00+00:00,,,,,,,,,,,243.42860412597656,245.25,243.32000732421875,244.90989685058594,4384552.0
2025-01-02 17:30:00+00:00,,,,,,,,,,,242.6862030029297,243.41000366210938,242.30999755859375,243.41000366210938,6464462.0
2025-01-02 18:30:00+00:00,,,,,,,,,,,242.4884033203125,242.83999633789062,241.82009887695312,242.6699981689453,5547977.0
2025-01-02 19:30:00+00:00,,,,,,,,,,,243.23109436035156,243.44000244140625,241.87130737304688,242.47999572753906,5106418.0
2025-01-02 20:30:00+00:00,,,,,,,,,,,243.82000732421875,243.9499969482422,243.01019287109375,243.25,6023491.0
2025-01-03 14:30:00+00:00,,,,,,,,,,,242.4597930908203,244.17999267578125,241.88999938964844,242.8802032470703,9135529.0
2025-01-03 15:30:00+00:00,,,,,,,,,,,243.49000549316406,243.67559814453125,242.13999938964844,242.4499969482422,4968036.0
2025-01-03 16:30:00+00:00,,,,,,,,,,,242.7707061767578,244.04859924316406,242.6699981689453,243.47999572753906,3673389.0
2025-01-03 17:30:00+00:00,,,,,,,,,,,243.00999450683594,243.16000366210938,242.27999877929688,242.77999877929688,3313371.0
2025-01-03 18:30:00+00:00,,,,,,,,,,,242.6699981689453,243.05999755859375,242.57000732421875,243.0,3130427.0
2025-01-03 19:30:00+00:00,,,,,,,,,,,242.85000610351562,243.44239807128906,242.63999938964844,242.66000366210938,3007142.0
2025-01-03 20:30:00+00:00,,,,,,,,,,,243.3000030517578,243.60000610351562,242.61000061035156,242.83999633789062,4381782.0
2025-01-06 14:30:00+00:00,,,,,,,,,,,245.5500030517578,246.1826934814453,243.83999633789062,244.3300018310547,10577599.0
2025-01-06 15:30:00+00:00,,,,,,,,,,,246.74000549316406,247.3300018310547,245.3300018310547,245.5399932861328,5006800.0
2025-01-06 16:30:00+00:00,,,,,,,,,,,245.77000427246094,246.76100158691406,245.7012939453125,246.7550048828125,3354093.0
2025-01-06 17:30:00+00:00,,,,,,,,,,,245.02999877929688,245.8699951171875,244.47999572753906,245.75999450683594,3070077.0
2025-01-06 18:30:00+00:00,,,,,,,,,,,244.97999572753906,245.17999267578125,244.60000610351562,245.02999877929688,2065770.0
2025-01-06 19:30:00+00:00,,,,,,,,,,,244.89500427246094,245.1300048828125,244.4250030517578,244.97999572753906,2306175.0
2025-01-06 20:30:00+00:00,,,,,,,,,,,245.0,245.33999633789062,244.4199981689453,244.91000366210938,3773029.0
2025-01-07 14:30:00+00:00,,,,,,,,,,,245.38890075683594,245.5500030517578,242.8300018310547,242.97999572753906,8173530.0
2025-01-07 15:30:00+00:00,,,,,,,,,,,243.77000427246094,245.32000732421875,243.7100067138672,245.13999938964844,4154915.0
2025-01-07 16:30:00+00:00,,,,,,,,,,,242.38999938964844,245.0,242.13819885253906,243.74000549316406,4446679.0
2025-01-07 17:30:00+00:00,,,,,,,,,,,243.15550231933594,243.4084014892578,241.36000061035156,242.39999389648438,3448950.0
2025-01-07 18:30:00+00:00,,,,,,,,,,,242.45799255371094,243.17999267578125,242.07009887695312,243.14999389648438,2577768.0
2025-01-07 19:30:00+00:00,,,,,,,,,,,242.00999450683594,242.49000549316406,241.75,242.4499969482422,2681979.0
2025-01-07 20:30:00+00:00,,,,,,,,,,,242.19000244140625,242.40499877929688,241.53900146484375,242.02000427246094,4772501.0
2025-01-08 14:30:00+00:00,,,,,,,,,,,242.40989685058594,242.86549377441406,240.0500030517578,241.97000122070312,7170550.0
2025-01-08 15:30:00+00:00,,,,,,,,,,,242.7100067138672,243.71229553222656,242.0850067138672,242.38999938964844,4154228.0
2025-01-08 16:30:00+00:00,,,,,,,,,,,241.3699951171875,243.5800018310547,241.24000549316406,242.72610473632812,3009958.0
2025-01-08 17:30:00+00:00,,,,,,,,,,,242.35000610351562,242.50869750976562,241.1999969482422,241.36000061035156,2612848.0
2025-01-08 18:30:00+00:00,,,,,,,,,,,242.7949981689453,242.97999572753906,241.04400634765625,242.35000610351562,2761227.0
2025-01-08 19:30:00+00:00,,,,,,,,,,,242.38400268554688,242.72000122070312,241.6999969482422,242.6999969482422,2452219.0
2025-01-08 20:30:00+00:00,,,,,,,,,,,242.72000122070312,242.98699951171875,241.8000030517578,242.3800048828125,3573432.0
2025-01-10 14:30:00+00:00,,,,,,,,,,,237.4250030517578,240.14999389648438,235.8000030517578,239.96499633789062,13137403.0
2025-01-10 15:30:00+00:00,,,,,,,,,,,233.77000427246094,237.43499755859375,233.5,237.4241943359375,8427975.0
2025-01-10 16:30:00+00:00,,,,,,,,,,,235.57000732421875,235.89999389648438,233.0,233.77000427246094,7179671.0
2025-01-10 17:30:00+00:00,,,,,,,,,,,237.11500549316406,237.33970642089844,235.06500244140625,235.5399932861328,3958571.0
2025-01-10 18:30:00+00:00,,,,,,,,,,,236.8300018310547,237.5850067138672,236.41000366210938,237.1199951171875,3175363.0
2025-01-10 19:30:00+00:00,,,,,,,,,,,235.9949951171875,236.8800048828125,235.75,236.83999633789062,3580665.0
2025-01-10 20:30:00+00:00,,,,,,,,,,,236.92999267578125,237.2899932861328,235.77000427246094,235.9949951171875,5097626.0
2025-01-13 14:30:00+00:00,,,,,,,,,,,230.3800048828125,233.58999633789062,229.72000122070312,233.5,13314474.0
2025-01-13 15:30:00+00:00,,,,,,,,,,,230.72500610351562,231.8000030517578,230.22000122070312,230.3800048828125,5357189.0
2025-01-13 16:30:00+00:00,,,,,,,,,,,232.32000732421875,232.52999877929688,230.39999389648438,230.7324981689453,4160495.0
2025-01-13 17:30:00+00:00,,,,,,,,,,,233.3800048828125,233.43499755859375,231.97999572753906,232.2899932861328,2920622.0
2025-01-13 18:30:00+00:00,,,,,,,,,,,233.55999755859375,233.97000122070312,233.25,233.3800048828125,2678525.0
2025-01-13 19:30:00+00:00,,,,,,,,,,,233.6844024658203,234.1999969482422,233.3699951171875,233.5500030517578,3290938.0
2025-01-13 20:30:00+00:00,,,,,,,,,,,234.39999389648438,234.6699981689453,233.65499877929688,233.69000244140625,4579852.0
2025-01-14 14:30:00+00:00,,,,,,,,,,,235.61000061035156,236.1199951171875,234.25999450683594,234.75,6863540.0
2025-01-14 15:30:00+00:00,,,,,,,,,,,234.2100067138672,235.97000122070312,234.1300048828125,235.60000610351562,3836690.0
2025-01-14 16:30:00+00:00,,,,,,,,,,,233.3249969482422,234.47630310058594,232.84500122070312,234.19000244140625,3080840.0
2025-01-14 17:30:00+00:00,,,,,,,,,,,234.02020263671875,234.1199951171875,232.64999389648438,233.30999755859375,2179055.0
2025-01-14 18:30:00+00:00,,,,,,,,,,,234.25869750976562,234.9199981689453,233.72000122070312,234.0399932861328,2448410.0
2025-01-14 19:30:00+00:00,,,,,,,,,,,233.2949981689453,234.64999389648438,232.4720001220703,234.25,3619972.0
